,id,name,neighborhood,latitude,longitude
0,953,Cine Araújo Jardim Guadalupe,Guadalupe,-22.84113,-43.36908
1,1304,Cine Odeon - Centro Cultural Luiz Severiano Ribeiro,Centro,-22.91071,-43.17602
2,1463,Cine Santa Teresa,Santa Teresa,-22.92154,-43.18614
3,1046,CineCarioca Méier,Méier,-22.90269,-43.28203
4,1597,Cineflix Center Shopping Rio de Janeiro (RIO),Tanque,-22.92484,-43.36103
5,4,Cinemark Botafogo,Botafogo,-22.94748,-43.1834
6,354,Cinemark Carioca Shopping,Vila Kosmos,-22.85001,-43.31107
7,3,Cinemark Downtown,Barra da Tijuca,-23.00372,-43.31765
8,1210,Cinemark Metropolitano Barra,Barra da Tijuca,-22.97146,-43.37253
9,1055,Cinemark Village Mall,Barra da Tijuca,-22.9986,-43.35105
10,1493,Cinépolis Rio Design Barra,Barra da Tijuca,-23.00108,-43.38614
11,1280,Cinesystem Américas,Recreio,-23.01258,-43.46217
12,502,Cinesystem Bangu - Rio de Janeiro,Bangu,-22.87887,-43.46714
13,1606,Cinesystem Botafogo,Botafogo,-22.94491,-43.18255
14,830,Cinesystem Ilha do Governador,Ilha do Governador,-22.80195,-43.20174
15,1281,Cinesystem Parque Shopping Sulacap,Campo Dos Afonsos,-22.88617,-43.40248
16,398,Cinesystem Recreio,Recreio,-23.02079,-43.48784
17,901,Cinesystem Via Brasil,Irajá,-22.82312,-43.31972
18,316,Espaço Itaú de Cinema - Botafogo,Botafogo,-22.94491,-43.18255
19,33,Estação NET Botafogo,Botafogo,-22.95138,-43.18473
20,506,Estação NET Gávea,Gávea,-22.97526,-43.22858
21,34,Estação NET Rio,Botafogo,-22.95115,-43.18267
22,934,Festival do Rio,Copacabana,-22.95016,-43.19091
23,728,Instituto Moreira Salles RJ,Gávea,-22.98199,-43.23924
24,505,Kinoplex Fashion Mall,São Conrado,-22.99626,-43.25929
25,1575,Kinoplex Leblon Globoplay,Leblon,-22.98395,-43.21939
26,1100,Kinoplex Madureira,Madureira,-22.87041,-43.34116
27,14,Kinoplex Nova América,Del Castilho,-22.87868,-43.27117
28,2,Kinoplex RioSul,Botafogo,-22.95723,-43.17617
29,18,Kinoplex São Luiz,Catete,-22.93078,-43.17717
30,9,Kinoplex Shopping Boulevard RJ,Vila Isabel,-22.91943,-43.25009
31,423,Kinoplex Shopping Leblon,Leblon,-22.98248,-43.21773
32,512,Kinoplex Tijuca,Tijuca,-22.92201,-43.23565
33,1273,Kinoplex Via Parque,Barra da Tijuca,-22.98269,-43.36293
34,855,Kinoplex West Shopping,Campo Grande,-22.88496,-43.55662
35,1585,MEG - MULTIPLATFORM ESPORTS GAMES,Barra da Tijuca,-22.97542,-43.39051
36,1519,Ponto Cine,Guadalupe,-22.83622,-43.38102
37,433,UCI Kinoplex Norte Shopping,Cachambi,-22.88692,-43.28065
38,25,UCI New York City Center,Barra da Tijuca,-22.99861,-43.3605
39,1062,UCI Park Campo Grande,Campo Grande,-22.92706,-43.57544
40,1563,UCI Park Jacarepagua,Jacarepaguá,-22.95775,-43.33608
